State/UT,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Bihar,2004,20.59090909,0.305263158,0.886956522,21.17083333,44.712,227.2827586,424.3689655,149.3137931,83.92758621,36.5125,0.7,0.505882353,1010.277448
Rajasthan,2004,2.471875,0.015625,0,1.26875,11.409375,41.103125,76.934375,306.896875,22.753125,33.95625,0.26875,1.059375,498.1375
Mizoram,2004,0,0,38.7,353.8,214.8,296.3,915.9,189.9,164.15,134.3,7.05,0.35,2315.25
Assam,2005,24.86190476,39.97619048,201.4,213.5571429,277.1333333,445.3285714,363.4333333,407.0142857,144.6761905,211.7190476,9.438095238,0.20952381,2338.747619
Odisha,2005,31.54615385,4.369230769,29.78461538,23.56153846,44.33846154,413.6576923,191.2692308,202.3076923,350.0653846,231.4653846,13.55,7.473076923,1543.388462
Maharashtra,2005,23.92121212,7.827272727,6.781818182,6.406060606,3.906060606,511.9272727,229.3181818,292.3575758,323.0333333,72.57575758,0,0.609090909,1478.663636
Madhya Pradesh,2005,19.5255814,5.169767442,12.96136364,3.802439024,4.395555556,493.2644444,107.0244444,199.2244444,177.9888889,8.044444444,0.835555556,1.242222222,1033.479151
Himachal Pradesh,2005,69.50909091,142.6090909,88.6,13.62727273,28.88181818,383.9818182,69.84545455,147.8,157.8,1.545454545,0.063636364,0.009090909,1104.272727
Rajasthan,2005,1.20625,7.375,9.415625,5.978125,8.221875,229.6,59.390625,66.58125,132.796875,0,0.20625,0,520.771875
Uttarakhand,2005,40.4,74.45555556,34.11111111,3.275,23.4875,536.6333333,107.2583333,287.325,411.575,13.88181818,1.666666667,2.157142857,1536.226461
Andaman and Nicobar Islands,2005,39.1,0,43.6,51.75,241.4,283.7,456.4,255.9,345.15,277.6,310,372.05,2676.65
Tripura,2005,0,42.16666667,227.0333333,149.5,435.5,414.6333333,192.4333333,378.5333333,292.7,189.0333333,0.766666667,1.166666667,2323.466667
Gujarat,2005,0,0,0,0.08,0.224,335.828,419.552,208.464,343.052,1.92,0,0,1309.12
Daman and Diu,2005,0,0,0,0,0,613.4,1014.8,476.3,652.2,12.3,0,0,2769
Punjab,2005,45.14666667,61.57333333,32.88,5.753333333,10.16666667,196.8,45.88125,86.2,121.3846154,0.286666667,0.2,0,606.2725321
Uttar Pradesh,2005,12.47857143,16.29107143,16.15438596,1.634615385,8.768421053,318.0333333,60.89206349,186.9806452,176.5,11.11129032,0.123728814,2.1,811.0681264
Lakshadweep,2005,17.6,11,0,37.1,92.7,381.9,248.8,102.4,277.9,164.2,218.1,27.3,1579
Telangana,2005,43.05555556,8.511111111,25.68888889,13.31111111,13.67777778,412.5,108.8777778,150.3222222,309.9777778,172.6666667,1.822222222,1.366666667,1261.777778
Karnataka,2005,7.437037037,2.759259259,5.144444444,82.04074074,71.73333333,382.0037037,215.0592593,234.7814815,180.1074074,200.2777778,40.22962963,4.981481481,1426.555556
Puducherry,2005,1,15.8,11.7,145.6,39.4,19.2,0.8,83.6,163.7,222.5,897.5,172.6,1773.4
Delhi,2005,6.6,42,31.4,5.8,11.6,175.9,65.7,89.1,233.1,0,0.5,0,661.7
Kerala,2005,20.67857143,6.45,26.7,203.1785714,135.5142857,789.1714286,627.7642857,273.6642857,393,249.0142857,202.9,62.17142857,2990.207143
Meghalaya,2005,14.3,7.166666667,233.9666667,268.0666667,277.8,871.3666667,584.8666667,921.4666667,188.9333333,436.4333333,8.433333333,5.033333333,3817.833333
Mizoram,2005,6.1,3.35,153.7,50.55,178.75,326.35,145,250.6,397.35,222,19.9,2.7,1756.35
Haryana,2005,17.93333333,38.08947368,38.44210526,3.689473684,8.536842105,216.8947368,59.27368421,65.60526316,169.8894737,0,0.761111111,0,619.1154971
Arunachal Pradesh,2005,43.4,137.3916667,235.3727273,197.0416667,204.7833333,557.5454545,327.6333333,440.7230769,302.1454545,152.8,23.17692308,2.346153846,2624.35979
Manipur,2005,0,17.6,99.1,51.2,56.2,132.3,112.5,182.8,213.8,185.4,19.1,33.9,1103.9
Sikkim,2005,24.4,76.7,134.3,238.6,407.9,630,548.2,442.6,354.5,120.1,11.8,1.5,2990.6
West Bengal,2005,27.14285714,10.80666667,85.47857143,74.79333333,100.4333333,417.6,227.0235294,325.4235294,197.9352941,335.7117647,2.4875,3.54,1808.37638
Tamil Nadu,2005,3.051724138,11.28275862,25.83448276,133.6206897,72.26896552,80.58,29.51333333,81.98666667,116.4133333,292.04,370.9366667,165.8566667,1383.385287
Chandigarh,2005,33.4,45.5,29.8,6.8,6.6,411.1,120.6,236.9,125.5,0,0,0,1016.2
Nagaland,2005,5,26.3,163.7,76.35,137.375,174.5,185.6,197.8666667,143.4333333,139.6333333,4.45,12.125,1266.333333
Andhra Pradesh,2005,3.946153846,7.215384615,9.038461538,25.95384615,57.43076923,149.2538462,79.11538462,111.1923077,275.4461538,334.5153846,93.6,31.42307692,1178.130769
Jammu and Kashmir,2005,115.9,257.39,133.18,49.15,59.42,202.24,20.21,96.4,58.94,12.94,17.24,0.31,1023.32
Chhattisgarh,2005,58.19285714,21.51428571,8.733333333,8.34,22.05625,371.79375,198.7375,264.76875,251.98125,79.5,0.2,0.16875,1285.986726
Bihar,2005,15.73333333,13.19333333,13.88,6.58,20.4875,269.7785714,78.86071429,331.676,106.716,32.75357143,3.6,0.829411765,894.0884356
Goa,2005,0,0.7,0,15,14.2,1317.9,952.9,472.3,662.7,75.8,0,0.2,3511.7
Dadra and Nagar Haveli,2005,,,,,,,,,,,,,
Jharkhand,2005,23.36666667,18.9,25.08571429,5.385714286,24.45714286,304.5,107.09,189.95,139.4625,39.47777778,0.942857143,15.33333333,893.9517063
Kerala,2006,9.721428571,0.671428571,74.53571429,70.90714286,515.4357143,574.3071429,550.6214286,388.2357143,473.9357143,379.7,218.9,2.414285714,3259.385714
Puducherry,2006,23.8,0,56.7,4.6,70.7,59.1,21.6,56.5,94.7,426.8,275.2,127.6,1217.3
Karnataka,2006,0.17037037,0,30.25185185,20.13703704,157.5222222,233.6074074,254.4703704,191.7777778,158.6148148,75.57407407,70.22222222,0.522222222,1192.87037
Telangana,2006,0,0,49.62222222,48.88888889,59,105.9444444,160.4111111,305.3333333,282.8555556,26.8,37.88888889,0,1076.744444
Delhi,2006,1.7,0,33.2,1.8,52.6,92.5,196.3,88.2,127.6,2.8,1.5,2.3,600.5
Lakshadweep,2006,23.1,0,44,0.3,411.3,286.5,172.6,150.7,318.2,119.2,158.7,10.8,1695.4
Uttar Pradesh,2006,0.156140351,0,16.15961538,8.085964912,29.87368421,105.2080645,290.7809524,122.0650794,69.24920635,11.3557377,0.870175439,1.187272727,654.9918933
