Annual Total,April,August,December,District,February,January,July,June,March,May,November,October,September,State,Year,_id
"",,,,Pakur,,,,,,,,,,Jharkhand,2011,5b0558d45cfe9b8414e3913a
"",,,,Pakur,,,,,,,,,,Jharkhand,2012,5b0558d45cfe9b8414e3913b
"",,,,Pakur,,,,,,,,,,Jharkhand,2013,5b0558d45cfe9b8414e3913c
1322.6,0.0,261.8,0.0,Pakur,19.7,1.0,480.7,226.9,0.0,146.2,0.0,43.5,142.8,Jharkhand,2014,5b0558d45cfe9b8414e3913d
"",18.1,280.9,0.3,Palamau,1.2,8.0,144.9,96.1,0.0,0.2,,68.9,138.3,Jharkhand,2004,5b0558d45cfe9b8414e3913e
790.7,6.0,291.8,3.7,Palamau,51.3,15.3,170.4,132.0,21.2,2.5,0.0,4.9,91.6,Jharkhand,2005,5b0558d45cfe9b8414e3913f
"",9.9,253.9,,Palamau,0.0,0.0,397.5,185.2,40.2,75.6,1.4,9.0,168.5,Jharkhand,2006,5b0558d45cfe9b8414e39140
1156.0,3.1,340.5,0.0,Palamau,125.9,0.0,272.0,112.4,15.3,24.4,0.0,2.5,259.9,Jharkhand,2007,5b0558d45cfe9b8414e39141
1007.3,12.2,306.2,0.0,Palamau,8.1,2.0,239.6,346.6,21.3,19.1,0.3,4.8,47.1,Jharkhand,2008,5b0558d45cfe9b8414e39142
824.8,0.3,137.9,4.2,Palamau,0.0,6.3,279.5,54.1,3.0,14.2,12.9,81.0,231.4,Jharkhand,2009,5b0558d45cfe9b8414e39143
575.0,0.0,141.5,25.9,Palamau,2.6,0.0,158.3,50.5,0.0,19.2,5.4,22.9,148.7,Jharkhand,2010,5b0558d45cfe9b8414e39144
1184.2,18.1,376.4,0.0,Palamau,3.4,0.0,122.0,296.1,0.0,10.6,0.0,19.2,338.4,Jharkhand,2011,5b0558d45cfe9b8414e39145
1078.1,8.4,354.1,0.0,Palamau,0.2,49.1,304.6,78.4,0.8,0.0,88.1,19.2,175.2,Jharkhand,2012,5b0558d45cfe9b8414e39146
913.0,8.8,254.7,0.0,Palamau,20.8,0.0,187.1,83.2,2.1,0.0,0.0,222.2,134.1,Jharkhand,2013,5b0558d45cfe9b8414e39147
794.7,0.8,251.2,9.2,Palamau,59.3,24.5,210.6,56.2,19.8,25.4,0.0,15.6,122.1,Jharkhand,2014,5b0558d45cfe9b8414e39148
"",,,,Ramgarh,,,,,,,,,,Jharkhand,2004,5b0558d45cfe9b8414e39149
"",,,,Ramgarh,,,,,,,,,,Jharkhand,2005,5b0558d45cfe9b8414e3914a
"",,,,Ramgarh,,,,,,,,,,Jharkhand,2006,5b0558d45cfe9b8414e3914b
"",,,,Ramgarh,,,,,,,,,,Jharkhand,2007,5b0558d45cfe9b8414e3914c
"",,,,Ramgarh,,,,,,,,,,Jharkhand,2008,5b0558d45cfe9b8414e3914d
"",,,,Ramgarh,,,,,,,,,,Jharkhand,2009,5b0558d45cfe9b8414e3914e
"",0.0,184.2,27.0,Ramgarh,,,230.2,35.0,0.2,0.0,9.6,90.8,194.2,Jharkhand,2010,5b0558d45cfe9b8414e3914f
